Код;Наименование
1; РЪКОВОДИТЕЛИ
11;ЗАКОНОДАТЕЛИ, ВИСШИ ПРЕДСТАВИТЕЛИ И ИЗПЪЛНИТЕЛНИ ДИРЕКТОРИ
111;Законодатели и висши представители
1111;Законодатели
1112;Висши представители на държавни органи
1113;Традиционни старейшини и селски водачи/управници
1114;Висши представители на организации с нестопанска цел
112;Управляващи и изпълнителни директори
1120;Управляващи и изпълнителни директори
12;АДМИНИСТРАТИВНИ РЪКОВОДИТЕЛИ И РЪКОВОДИТЕЛИ В ТЪРГОВСКИ ДРУЖЕСТВА
121;Ръководители в бизнес услугите и административните дейности
1211;Ръководители на финансови дейности
1212;Ръководители по управление на човешките ресурси
1213;Ръководители по политики и стратегическо планиране
1219;Ръководители в бизнес услугите и административните дейности, н.д.
122;Ръководители по продажби, маркетинг и развойна дейност
1221;Ръководители по продажби и маркетинг
1222;Ръководители реклама и връзки с обществеността
1223;Ръководители на научноизследователска и развойна дейност
13;РЪКОВОДИТЕЛИ В ПРОИЗВОДСТВОТО И СПЕЦИАЛИЗИРАНИТЕ УСЛУГИ
131;Ръководители в селското, горското и рибното стопанство
1311;Ръководители в селското и горското стопанство
1312;Ръководители в риболова и аквакултурите
132;Ръководители в преработващата и добивната промишленост, строителството и дистрибуцията
1321;Ръководители в преработващата промишленост
1322;Ръководители в добивната промишленост
1323;Ръководители в строителството
1324;Ръководители снабдяване, дистрибуция и сродни на тях
133;Ръководители в областта на информационните и комуникационните технологии
1330;Ръководители в областта на информационните и комуникационните технологии
134;Ръководители в областта на професионалните услуги
1341;Ръководители в областта на услугите за грижи за деца
1342;Ръководители в здравеопазването
1343;Ръководители в областта на услугите за грижи за възрастни хора
1344;Ръководители на социални услуги
1345;Ръководители в образованието
1346;Ръководители на клонове на финансови и застрахователни институции
1349;Ръководители в областта на професионалните услуги, н.д.
14;РЪКОВОДИТЕЛИ В ХОТЕЛИЕРСТВОТО, ТЪРГОВИЯТА И ДРУГИ УСЛУГИ
141;Управители на хотели и ресторанти
1411;Управители на хотели
1412;Управители на ресторанти
142;Ръководители в търговията на едро и дребно
1420;Ръководители в търговията на едро и дребно
143;Ръководители на други услуги
1431;Ръководители на спортни центрове, центрове за отдих и културни центрове
1439;Ръководители на други услуги, н.д.
2;СПЕЦИАЛИСТИ
21;СПЕЦИАЛИСТИ ПО ПРИРОДНИ И ТЕХНИЧЕСКИ НАУКИ
211;Специалисти по физически и химически науки и науки за земята
2111;Физици и астрономи
2112;Метеоролози
2113;Химици
2114;Геолози и геофизици
212;Математици, актюери и статистици
2120;Математици, актюери и статистици
213;Специалисти по естествени науки
2131;Биолози, ботаници, зоолози и сродни на тях
2132;Специалисти в селското, горското и рибното стопанство
2133;Специалисти по опазване на околната среда
214;Специалисти по технически науки (без инженери по електротехнологии)
2141;Инженери в промишленото производство
2142;Строителни инженери
2143;Инженер-еколози
2144;Машинни инженери
2145;Инженер-химици
2146;Минни инженери, инженер-металурзи и сродни на тях
2149;Специалисти по технически науки, н.д.
215;Инженери по електротехнологии
2151;Електроинженери
2152;Инженери по електроника
2153;Инженери по телекомуникационни технологии
216;Архитекти, проектанти, земемери и дизайнери
2161;Архитекти
2162;Ландшафтни архитекти
2163;Дизайнери на облекло и промишлени продукти
2164;Урбанисти
2165;Картографи и земемери
2166;Графични и мултимедийни дизайнери
22;МЕДИЦИНСКИ СПЕЦИАЛИСТИ
221;Лекари
2211;Общопрактикуващи лекари
2212;Лекари специалисти
222;Медицински сестри и акушерки
2221;Медицински сестри
2222;Акушерки
223;Специалисти в областта на традиционната и комплементарна медицина
2230;Специалисти в областта на традиционната и комплементарна медицина
224;Парамедицински специалисти
2240;Лекарски асистенти и фелдшери
225;Ветеринари
2250;Ветеринари
226;Други медицински и здравни специалисти
2261;Лекари по дентална медицина
2262;Фармацевти
2263;Специалисти по медицинска екология, хигиена и здравословни условия на труд
2264;Физиотераписти
2265;Диетолози и специалисти по хранене
2266;Аудиолози и логопеди
2267;Оптометристи и оптици
2269;Други медицински и здравни специалисти, н.д.
23;ПРЕПОДАВАТЕЛИ
231;Преподаватели във висши училища
2310;Преподаватели във висши училища
232;Учители по професионална подготовка в професионалното образование и обучение и преподаватели в ЦПО и в професионалните колежи
2320;Учители по професионална подготовка в професионалното образование и обучение и преподаватели в ЦПО и в професионалните колежи
233;Учители по общообразователна подготовка в средното образование (V-XII клас)
2330;Учители по общообразователна подготовка в средното образование (V-XII клас)
234;Учители в начален етап на основното образование (I-IV клас) и в предучилищно възпитание и подготовка
2341;Учители в начален етап на основното образование (I-IV клас)
2342;Учители в предучилищно възпитание и подготовка
235;Други преподаватели
2351;Специалисти по образователни методи
2352;Учители за лица със специални образователни потребности
2353;Други учители/ преподаватели по чужд език в занимания по интереси
2354;Други учители/ преподаватели по музика в занимания по интереси
2355;Други учители/ преподаватели по изкуства в занимания по интереси
2356;Други учители/ преподаватели по информационни технологии в занимания по интереси
2359;Други преподаватели, н.д.
24;СТОПАНСКИ И АДМИНИСТРАТИВНИ СПЕЦИАЛИСТИ
241;Финансови специалисти
2411;Одитори и счетоводители
2412;Финансови и инвестиционни консултанти
2413;Финансови анализатори
242;Административни специалисти
2421;Анализатори по управление и организация
2422;Специалисти по администриране на политики
2423;Специалисти по управление на персонала и кариерно развитие
2424;Специалисти по обучение и развитие на персонала
243;Специалисти по продажби, маркетинг и връзки с обществеността
2431;Специалисти по реклама и маркетинг
2432;Специалисти по връзки с обществеността
2433;Специалисти по продажби в областта на медицината и техниката (без информационни и комуникационни технологии)
2434;Специалисти по продажби в областта на информационните и комуникационни технологии
25;СПЕЦИАЛИСТИ ПО ИНФОРМАЦИОННИ И КОМУНИКАЦИОННИ ТЕХНОЛОГИИ
251;Разработчици на софтуер и софтуерни приложения и анализатори
2511;Системни анализатори
2512;Софтуерни разработчици
2513;Разработчици на уебсъдържание и мултимедия
2514;Приложни програмисти
2519;Разработчици на софтуер и софтуерни приложения и анализатори, н.д.
252;Специалисти по бази данни и мрежи
2521;Проектанти и администратори на бази данни
2522;Системни администратори
2523;Специалисти по компютърни мрежи
2529;Специалисти по бази данни и мрежи, н.д.
26;ЮРИСТИ И СПЕЦИАЛИСТИ ПО ОБЩЕСТВЕНИ НАУКИ И КУЛТУРА
261;Юристи
2611;Прокурори, адвокати и юрисконсулти
2612;Съдии
2619;Юристи, н.д.
262;Библиотекари, архивисти и уредници
2621;Архивисти и уредници
2622;Библиотекари и сродни на тях специалисти
263;Специалисти по обществени науки и религиозни специалисти
2631;Икономисти
2632;Социолози, антрополози и сродни на тях
2633;Философи, историци и политолози
2634;Психолози
2635;Специалисти по социална работа и консултиране
2636;Духовници и специалисти по религии
264;Писатели, журналисти и езиковеди
2641;Писатели и сродни на тях
2642;Журналисти
2643;Преводачи и други езиковеди
265;Творци и изпълнители
2651;Склуптори, художници и сродни на тях
2652;Музиканти, певци и композитори
