gitgCodigo;Nome;Tipo
1.01;ACTIVO CORRIENTE;Sintética
1.01.01;DISPONIBILIDADES;Sintética
1.01.01.01;RECAUDACIONES A DEPOSITAR;Analítica
1.01.01.02;CAJA;Analítica
1.01.01.03;FONDOS FIJOS;Analítica
1.01.01.04;BANCOS;Analítica
1.01.02;INVERSIONES TEMPORARIAS;Sintética
1.01.02.01;INVERSIONES FINANCIERAS;Analítica
1.01.02.02;INVERSIONES EN ENTIDADES VINCULADAS;Analítica
1.01.02.03;OTRAS INVERSIONES;Analítica
1.01.02.04;"INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES";Analítica
1.01.03;CRÉDITOS;Sintética
1.01.03.01;DEUDORES POR VENTAS;Analítica
1.01.03.02;DEUDORES POR PRÉSTAMOS;Analítica
1.01.03.03;CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS;Analítica
1.01.03.04;CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS;Analítica
1.01.03.05;CRÉDITOS POR IMPUESTOS CORRIENTES;Sintética
1.01.03.05.01;ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA;Analítica
1.01.03.05.02;RETENCIONES DE IVA;Analítica
1.01.03.05.03;IVA - CRÉDITO FISCAL;Analítica
1.01.03.05.04;IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO;Analítica
1.01.03.06;ANTICIPO A PROVEEDORES;Sintética
1.01.03.06.01;ANTICIPOS A PROVEEDORES LOCALES;Analítica
1.01.03.06.02;ANTICIPOS A PROVEEDORES DEL EXTERIOR;Analítica
1.01.03.99;(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO;Analítica
1.01.04;INVENTARIOS;Sintética
1.01.04.01;MERCADERÍAS;Sintética
1.01.04.01.01;MERCADERÍAS GRAVADAS POR EL IVA AL 10%;Analítica
1.01.04.01.02;MERCADERÍAS GRAVADAS POR EL IVA AL 5%;Analítica
1.01.04.01.03;MERCADERÍAS EXENTAS DEL IVA;Analítica
1.01.04.02;MERCADERÍAS REGÍMENES ESPECIALES;Sintética
1.01.04.02.01;MERCADERÍAS RÉGIMEN DE TURISMO;Analítica
1.01.04.02.02;MERCADERÍAS ZONA FRANCA;Analítica
1.01.04.02.03;MERCADERÍAS RÉGIMEN DE MAQUILA;Analítica
1.01.04.02.04;MERCADERÍAS OTROS REGÍMENES ESPECIALES;Analítica
1.01.04.03;PRODUCTOS TERMINADOS;Sintética
1.01.04.03.01;PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%;Analítica
1.01.04.03.02;PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%;Analítica
1.01.04.03.03;PRODUCTOS TERMINADOS EXENTOS DEL IVA;Analítica
1.01.04.04;PRODUCTOS EN PROCESO;Analítica
1.01.04.05;MATERIAS PRIMAS;Analítica
1.01.04.06;"MATERIALES, SUMINISTROS Y REPUESTOS";Analítica
1.01.04.07;PRODUCTOS AGRÍCOLAS;Analítica
1.01.04.08;PRODUCTOS FORESTALES;Analítica
1.01.04.09;ACTIVOS BIOLÓGICOS EN PRODUCCIÓN;Analítica
1.01.04.10;ACTIVOS BIOLÓGICOS EN DESARROLLO;Analítica
1.01.04.11;IMPORTACIONES EN CURSO;Analítica
1.01.04.99;(-) PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS;Analítica
1.01.05;GASTOS PAGADOS POR ADELANTADO;Sintética
1.01.05.01;ALQUILERES PAGADOS POR ADELANTADO;Analítica
1.01.05.02;SEGUROS A DEVENGAR;Analítica
1.01.06;OTROS ACTIVOS;Sintética
1.02;ACTIVO NO CORRIENTE;Sintética
1.02.01;CRÉDITOS A LARGO PLAZO;Sintética
1.02.01.01;DEUDORES POR VENTAS;Analítica
1.02.01.02;DEUDORES POR PRÉSTAMOS;Analítica
1.02.01.03;CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS;Analítica
1.02.01.04;CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS;Analítica
1.02.01.05;DEUDORES EN GESTIÓN DE COBRO – MOROSOS O SIMILARES;Analítica
1.02.01.06;ANTICIPOS A PROVEEDORES;Sintética
1.02.01.06.01;ANTICIPOS A PROVEEDORES LOCALES;Analítica
1.02.01.06.02;ANTICIPOS A PROVEEDORES DEL EXTERIOR;Analítica
1.02.01.07;CRÉDITOS POR IMPUESTOS DIFERIDOS;Analítica
1.02.01.99;(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO;Analítica
1.02.02;INVENTARIOS A REALIZAR A LARGO PLAZO;Sintética
1.02.02.01;ACTIVOS BIOLÓGICOS EN PRODUCCIÓN;Analítica
1.02.02.02;ACTIVOS BIOLÓGICOS EN DESARROLLO;Analítica
1.02.02.99;(-) PREVISIÓN POR DEVALUACIÓN DE ACTIVOS BIOLÓGICOS;Analítica
1.02.03;INVERSIONES A LARGO PLAZO;Sintética
1.02.03.01;INVERSIONES FINANCIERAS;Analítica
1.02.03.02;INVERSIONES EN ENTIDADES VINCULADAS;Analítica
1.02.03.03;INVERSIONES INMOBILIARIAS;Analítica
1.02.03.04;OTRAS INVERSIONES;Analítica
1.02.03.05;"INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES";Analítica
1.02.03.99;(-) PREVISIÓN POR DEVALUACIÓN DE INVERSIONES;Analítica
1.02.04;"PROPIEDAD, PLANTA Y EQUIPO";Sintética
1.02.04.01;INMUEBLES;Analítica
1.02.04.02;RODADOS /TRANSPORTES;Analítica
1.02.04.03;"MUEBLES, ÚTILES Y ENSERES";Analítica
1.02.04.04;MAQUINARIAS;Analítica
1.02.04.05;EQUIPOS;Analítica
1.02.04.06;HERRAMIENTAS;Analítica
1.02.04.07;BIENES FUERA DE OPERACIÓN;Analítica
1.02.04.08;MEJORAS EN PREDIO AJENO;Analítica
1.02.04.97;BIENES INCORPORADOS AL AMPARO DE LA LEY N° 60/90;Analítica
1.02.04.98;BIENES EN ARRENDAMIENTO FINANCIERO;Analítica
1.02.04.99;(-) DEPRECIACIÓN ACUMULADA;Analítica
1.02.05;OTROS ACTIVOS A LARGO PLAZO;Sintética
1.02.05.01;DERECHOS FIDUCIARIOS;Analítica
1.02.06;CARGOS DIFERIDOS;Sintética
1.02.06.01;GASTOS DE CONSTITUCIÓN;Analítica
1.02.06.02;GASTOS DE ORGANIZACIÓN;Analítica
