"id","code","name","account_type","reconcile"
"account_py_101","1.01.01.01","RECAUDACIONES A DEPOSITAR","asset_current","False"
"account_py_102","1.01.01.02","CAJA","asset_current","False"
"account_py_103","1.01.01.03","FONDOS FIJOS","asset_current","False"
"account_py_104","1.01.01.04","BANCOS","asset_current","True"
"account_py_201","1.01.02.01","INVERSIONES FINANCIERAS","asset_current","False"
"account_py_202","1.01.02.02","INVERSIONES EN ENTIDADES VINCULADAS","asset_current","False"
"account_py_203","1.01.02.03","OTRAS INVERSIONES","asset_current","False"
"account_py_204","1.01.02.04","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","asset_current","False"
"account_py_301","1.01.03.01","DEUDORES POR VENTAS","asset_receivable","True"
"account_py_302","1.01.03.02","DEUDORES POR PRÉSTAMOS","asset_current","True"
"account_py_303","1.01.03.03","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","asset_current","True"
"account_py_304","1.01.03.04","CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS","asset_current","True"
"account_py_30501","1.01.03.05.01","ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA","asset_current","False"
"account_py_30502","1.01.03.05.02","RETENCIONES DE IVA","asset_current","False"
"account_py_30503","1.01.03.05.03","IVA - CRÉDITO FISCAL","asset_current","False"
"account_py_30504","1.01.03.05.04","IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO","asset_current","False"
"account_py_30601","1.01.03.06.01","ANTICIPOS A PROVEEDORES LOCALES","asset_current","False"
"account_py_30602","1.01.03.06.02","ANTICIPOS A PROVEEDORES DEL EXTERIOR","asset_current","False"
"account_py_3099","1.01.03.99","PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO","asset_current","False"
"account_py_40101","1.01.04.01.01","MERCADERÍAS GRAVADAS POR EL IVA AL 10%","asset_current","False"
"account_py_40102","1.01.04.01.02","MERCADERÍAS GRAVADAS POR EL IVA AL 5%","asset_current","False"
"account_py_40103","1.01.04.01.03","MERCADERÍAS EXENTAS DEL IVA","asset_current","False"
"account_py_40201","1.01.04.02.01","MERCADERÍAS RÉGIMEN DE TURISMO","asset_current","False"
"account_py_40202","1.01.04.02.02","MERCADERÍAS ZONA FRANCA","asset_current","False"
"account_py_40203","1.01.04.02.03","MERCADERÍAS RÉGIMEN DE MAQUILA","asset_current","False"
"account_py_40204","1.01.04.02.04","MERCADERÍAS OTROS REGÍMENES ESPECIALES","asset_current","False"
"account_py_40301","1.01.04.03.01","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%","asset_current","False"
"account_py_40302","1.01.04.03.02","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%","asset_current","False"
"account_py_40303","1.01.04.03.03","PRODUCTOS TERMINADOS EXENTOS DEL IVA","asset_current","False"
"account_py_404","1.01.04.04","PRODUCTOS EN PROCESO","asset_current","False"
"account_py_405","1.01.04.05","MATERIAS PRIMAS","asset_current","False"
"account_py_406","1.01.04.06","MATERIALES, SUMINISTROS Y REPUESTOS","asset_current","False"
"account_py_407","1.01.04.07","PRODUCTOS AGRÍCOLAS","asset_current","False"
"account_py_408","1.01.04.08","PRODUCTOS FORESTALES","asset_current","False"
"account_py_409","1.01.04.09","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN","asset_current","False"
"account_py_4010","1.01.04.10","ACTIVOS BIOLÓGICOS EN DESARROLLO","asset_current","False"
"account_py_4011","1.01.04.11","IMPORTACIONES EN CURSO","asset_current","False"
"account_py_4099","1.01.04.99","PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS","asset_current","False"
"account_py_501","1.01.05.01","ALQUILERES PAGADOS POR ADELANTADO","asset_prepayments","False"
"account_py_502","1.01.05.02","SEGUROS A DEVENGAR","asset_prepayments","False"
"account_py_1001","1.02.01.01","DEUDORES POR VENTAS L/P","asset_non_current","True"
"account_py_1002","1.02.01.02","DEUDORES POR PRÉSTAMOS L/P","asset_non_current","True"
"account_py_1003","1.02.01.03","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS L/P","asset_non_current","True"
"account_py_1004","1.02.01.04","CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS L/P","asset_non_current","True"
"account_py_1005","1.02.01.05","DEUDORES EN GESTIÓN DE COBRO – MOROSOS O SIMILARES","asset_non_current","True"
"account_py_100601","1.02.01.06.01","ANTICIPOS A PROVEEDORES LOCALES L/P","asset_non_current","False"
"account_py_100602","1.02.01.06.02","ANTICIPOS A PROVEEDORES DEL EXTERIOR L/P","asset_non_current","False"
"account_py_1007","1.02.01.07","CRÉDITOS POR IMPUESTOS DIFERIDOS","asset_non_current","False"
"account_py_10099","1.02.01.99","PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO L/P","asset_non_current","False"
