"id","name","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"py_fiscal_position_compras_no_gravadas_exentas","Compras - destinadas a generar operaciones no gravadas o exentas","base.py","",""
"py_fiscal_position_compras_fuera_plazo","Compras - Facturas de proveedores registrados fuera de plazo","base.py","",""
"py_fiscal_position_compras_gastos_rechazados","Compras - Gastos rechazados","base.py","",""
"py_fiscal_position_compras_entregas_gratuitas","Compras - Entregas gratuitas (premios, bonificaciones, etc.) recibidos","base.py","",""
"py_fiscal_position_compras_otros","Compras - Otros","base.py","",""
"py_fiscal_position_compras_activo_fijo","Compras - Activo Fijo","base.py","",""
"py_fiscal_position_compras_exentas","Compras - Exentas","base.py","py_tax_vat_10_compras","py_tax_vat_exento_compras"
"","","","py_tax_vat_5_compras","py_tax_vat_exento_compras"
"py_fiscal_position_compras_supermercado","Compras - Supermercado","base.py","",""
"py_fiscal_position_ventas_exentas","Ventas - Exentas","base.py","py_tax_vat_10_ventas","py_tax_vat_exento_ventas"
"","","","py_tax_vat_5_ventas","py_tax_vat_exento_ventas"
