"id","code_prefix_start","code_prefix_end","name"
"account_group_1","1","","ACTIVO"
"account_group_101","1.01","","ACTIVO CORRIENTE"
"account_group_10101","1.01.01","","DISPONIBILIDADES"
"account_group_10102","1.01.02","","INVERSIONES TEMPORARIAS"
"account_group_10103","1.01.03","","CRÉDITOS"
"account_group_101030","1.01.03.05","","CRÉDITOS POR IMPUESTOS CORRIENTES"
"account_group_101031","1.01.03.06","","ANTICIPO A PROVEEDORES"
"account_group_10104","1.01.04","","INVENTARIOS"
"account_group_101040","1.01.04.01","","MERCADERÍAS"
"account_group_101041","1.01.04.02","","MERCADERÍAS REGÍMENES ESPECIALES"
"account_group_101042","1.01.04.03","","PRODUCTOS TERMINADOS"
"account_group_10105","1.01.05","","GASTOS PAGADOS POR ADELANTADO"
"account_group_10106","1.01.06","","OTROS ACTIVOS CORRIENTES"
"account_group_102","1.02","","ACTIVO NO CORRIENTE"
"account_group_10201","1.02.01","","CRÉDITOS A LARGO PLAZO"
"account_group_102010","1.02.01.06","","ANTICIPOS A PROVEEDORES L/P"
"account_group_10202","1.02.02","","INVENTARIOS A REALIZAR A LARGO PLAZO"
"account_group_10203","1.02.03","","INVERSIONES A LARGO PLAZO"
"account_group_10204","1.02.04","","PROPIEDAD, PLANTA Y EQUIPO"
"account_group_10205","1.02.05","","OTROS ACTIVOS A LARGO PLAZO"
"account_group_10206","1.02.06","","CARGOS DIFERIDOS"
"account_group_10207","1.02.07","","ACTIVOS INTANGIBLES"
"account_group_2","2","","PASIVO"
"account_group_201","2.01","","PASIVO CORRIENTE"
"account_group_20101","2.01.01","","ACREEDORES COMERCIALES"
"account_group_20102","2.01.02","","DEUDAS FINANCIERAS"
"account_group_20103","2.01.03","","OTRAS CUENTAS POR PAGAR"
"account_group_201030","2.01.03.01","","DEUDAS FISCALES CORRIENTES"
"account_group_20104","2.01.04","","PROVISIONES"
"account_group_20105","2.01.05","","INGRESOS DIFERIDOS"
"account_group_202","2.02","","PASIVO NO CORRIENTE"
"account_group_20201","2.02.01","","ACREEDORES COMERCIALES A LARGO PLAZO"
"account_group_20202","2.02.02","","DEUDAS FINANCIERAS A LARGO PLAZO"
"account_group_20203","2.02.03","","OTRAS CUENTAS POR PAGAR"
"account_group_20204","2.02.04","","PROVISIONES PARA OBLIGACIONES A LARGO PLAZO"
"account_group_20205","2.02.05","","INGRESOS DIFERIDOS A LARGO PLAZO"
"account_group_3","3","","PATRIMONIO NETO"
"account_group_301","3.01","","CAPITAL"
"account_group_30101","3.01.01","","CAPITAL INTEGRADO"
"account_group_302","3.02","","RESERVAS"
"account_group_30202","3.02.02","","RESERVA DE REVALÚO"
"account_group_303","3.03","","RESULTADOS"
"account_group_4","4","","INGRESOS OPERATIVOS"
"account_group_401","4.01","","VENTAS DE MERCADERÍAS"
"account_group_402","4.02","","VENTAS DE PRODUCTOS AGRÍCOLAS"
"account_group_406","4.06","","EXPORTACIONES DE PRODUCTOS AGRÍCOLAS"
"account_group_40601","4.06.01","","EXPORTACIONES DE SOJA Y SUS DERIVADOS"
"account_group_407","4.07","","EXPORTACIONES DE BIENES INDUSTRIALIZADOS"
"account_group_410","4.10","","VENTAS DE BIENES - REGÍMENES ESPECIALES"
"account_group_41001","4.10.01","","VENTAS MERCADERÍAS - RÉGIMEN DE TURISMO"
"account_group_5","5","","COSTOS OPERATIVOS"
"account_group_501","5.01","","COSTO DE MERCADERÍAS"
"account_group_502","5.02","","COSTO DE PRODUCTOS AGRÍCOLAS"
"account_group_506","5.06","","COSTO DE PRODUCTOS AGRÍCOLAS EXPORTADOS"
"account_group_50601","5.06.01","","COSTO DE SOJA Y SUS DERIVADOS EXPORTADOS"
"account_group_507","5.07","","COSTO DE BIENES INDUSTRIALIZADOS EXPORTADOS"
"account_group_510","5.10","","COSTO DE VENTAS DE BIENES - REGÍMENES ESPECIALES"
"account_group_51001","5.10.01","","COSTO DE VENTAS MERCADERÍAS - RÉGIMEN DE TURISMO"
"account_group_7","7","","INGRESOS POR ACTIVOS BIOLÓGICOS"
"account_group_701","7.01","","INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS"
"account_group_702","7.02","","COSTO DE PRODUCCIÓN Y/O TENENCIA DE ACTIVOS BIOLÓGICOS"
"account_group_8","8","","OTROS INGRESOS"
"account_group_10","10","","GASTOS DE VENTAS O COMERCIALIZACIÓN"
"account_group_1001","10.01","","SUELDOS Y REMUNERACIONES VENTAS"
"account_group_100101","10.01.01","","SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL VENTAS"
"account_group_11","11","","GASTOS DE ADMINISTRACIÓN"
"account_group_1101","11.01","","SUELDOS Y REMUNERACIONES ADMINISTRACIÓN"
"account_group_110101","11.01.01","","SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL ADM"
"account_group_13","13","","GASTOS BANCARIOS Y FINANCIEROS"
"account_group_14","14","","PREVISIONES"
"account_group_15","15","","DEPRECIACIONES Y AMORTIZACIONES DE ACTIVOS"
"account_group_17","17","","OTROS RESULTADOS NO OPERATIVOS"
"account_group_19","19","","IMPUESTO A LA RENTA"
