"id","name","description","invoice_label","sequence","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids"
"py_tax_vat_10_ventas","IVA 10%","IVA 10%","IVA 10%","1","10","percent","sale","tax_group_iva_10","base","invoice","",""
"","","","","","","","","","tax","invoice","account_py_220102",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_py_30503",""
"py_tax_vat_10_compras","IVA 10%","IVA 10%","IVA 10%","1","10","percent","purchase","tax_group_iva_10","base","invoice","",""
"","","","","","","","","","tax","invoice","account_py_30503",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_py_220102",""
"py_tax_vat_5_ventas","IVA 5%","IVA 5%","IVA 5%","2","5","percent","sale","tax_group_iva_5","base","invoice","",""
"","","","","","","","","","tax","invoice","account_py_220102",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_py_30503",""
"py_tax_vat_5_compras","IVA 5%","IVA 5%","IVA 5%","2","5","percent","purchase","tax_group_iva_5","base","invoice","",""
"","","","","","","","","","tax","invoice","account_py_30503",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_py_220102",""
"py_tax_vat_exento_ventas","Exento","Exento","Exento","3","0","percent","sale","tax_group_exempt","base","invoice","",""
"","","","","","","","","","tax","invoice","account_py_220102",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_py_30503",""
"py_tax_vat_exento_compras","Exento","Exento","Exento","3","0","percent","purchase","tax_group_exempt","base","invoice","",""
"","","","","","","","","","tax","invoice","account_py_30503",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_py_220102",""
